,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Models,LUNA,LUNA_CI_Lower,LUNA_CI_Upper,FMCIB_alignment_LUNA,VISTA_alignment_LUNA,ModelsGen_alignment_LUNA,DLCS,DLCS_CI_Lower,DLCS_CI_Upper,NSCLC_Radiomics,NSCLC_Radiomics_CI_Lower,NSCLC_Radiomics_CI_Upper,FMCIB_alignment_NSCLC-Radiomics,VISTA_alignment_NSCLC-Radiomics,ModelsGen_alignment_NSCLC-Radiomics,NSCLC_Radiogenomics,NSCLC_Radiogenomics_CI_Lower,NSCLC_Radiogenomics_CI_Upper,FMCIB_alignment_NSCLC_Radiogenomics,VISTA_alignment_NSCLC_Radiogenomics,ModelsGen_alignment_NSCLC_Radiogenomics,C4KC-KiTs,C4KC-KiTs_CI95_Lower,C4KC-KiTs_CI95_Upper,FMCIB_alignment_C4KC,VISTA_alignment_C4KC,ModelsGen_alignment_C4KC,ColRecMet,ColRecMet_CI95_Lower,ColRecMet_CI95_Upper,FMCIB_alignment_ColRecMet,VISTA_alignment_ColRecMet,ModelsGen_alignment_ColRecMet
0,0,0,0,0,0,0,0,0,0,0,0,0,FMCIBExtractor,0.8860076960076959,0.8715736770355913,0.9004417149798005,,2.601181683899557,2.707533234859675,0.6757963734378828,0.6551453304354579,0.6964474164403077,0.5770381836945304,0.5496400183540446,0.6044363490350162,,2.646080760095012,2.2850356294536818,0.5879464285714285,0.5088644124250392,0.6670284447178179,,3.423611111111111,3.423611111111111,0.6869444444444444,0.6193901721003938,0.7544987167884949,,2.795238095238095,2.461904761904762,0.5772222222222222,0.5094755095590594,0.644968934885385,,3.020304568527919,2.4923857868020303
1,1,1,1,1,1,1,1,1,1,1,1,1,CTFMExtractor,0.6543097643097643,0.6258466733983942,0.6827728552211344,2.0620384047267355,3.4194977843426884,3.265878877400296,0.5920342236379972,0.5766146762970503,0.607453770978944,0.5442079463364292,0.5216642412195517,0.5667516514533067,1.914489311163896,2.5961995249406176,1.966745843230404,0.6204241071428572,0.572222439991753,0.6686257742939614,2.548611111111111,4.277777777777778,3.7847222222222223,0.4633333333333334,0.4089385164455783,0.5177281502210884,1.8952380952380952,2.7333333333333334,2.376190476190476,0.4527777777777778,0.3947282845231084,0.5108272710324473,2.1015228426395938,2.6446700507614214,2.33502538071066
2,2,2,2,2,2,2,2,2,2,2,2,2,CTClipVitExtractor,0.5725637325637326,0.5581463368798577,0.5869811282476075,1.0044313146233383,1.617429837518464,1.586410635155096,0.4944233439516458,0.4670641026320251,0.5217825852712664,0.4497033023735809,0.4264005504005733,0.4730060543465886,0.9572446555819476,1.2470308788598574,0.9406175771971496,0.5103794642857142,0.470361498214124,0.5503974303573044,1.4861111111111112,2.1875,2.083333333333333,0.4925,0.4289656686349597,0.5560343313650403,0.8285714285714286,0.9285714285714286,0.8857142857142857,0.4957407407407408,0.4169071868172773,0.5745742946642043,1.4720812182741116,1.898477157360406,1.7106598984771573
3,3,3,3,3,3,3,3,3,3,3,3,3,PASTAExtractor,0.6648388648388648,0.6545292759304776,0.675148453747252,1.6129985228951256,2.508124076809453,2.41506646971935,0.5563015600751451,0.5319988339945708,0.5806042861557194,0.5571078431372548,0.5268297625394528,0.5873859237350568,1.370546318289786,1.9691211401425173,1.7292161520190024,0.5698660714285715,0.5100662244271879,0.6296659184299551,2.201388888888889,3.2291666666666665,2.75,0.6041666666666666,0.5394143894294342,0.668918943903899,1.7428571428571429,2.8190476190476192,2.6476190476190475,0.4648148148148148,0.35737941275852,0.5722502168711097,1.8020304568527918,3.045685279187817,2.9086294416243654
4,4,4,4,4,4,4,4,4,4,4,4,4,VISTA3DExtractor,0.711120731120731,0.692220769541959,0.7300206926995031,2.601181683899557,,4.197932053175776,0.607937188597566,0.5892120340124767,0.6266623431826552,0.5826367389060888,0.5452398224897671,0.6200336553224105,2.646080760095012,,2.705463182897862,0.6220982142857141,0.5666305294367862,0.677565899134642,3.423611111111111,,4.520833333333333,0.6816666666666666,0.6277743053174273,0.735559028015906,2.795238095238095,,3.776190476190476,0.4877777777777778,0.4006495284348583,0.5749060271206974,3.020304568527919,,4.147208121827411
5,5,5,5,5,5,5,5,5,5,5,5,5,VocoExtractor,0.4937614237614238,0.4683025759172952,0.5192202716055525,0.2053175775480059,0.2378138847858198,0.2053175775480059,0.507138773176509,0.4867823912014412,0.5274951551515769,0.5261609907120743,0.4979099422045602,0.5544120392195885,0.3111638954869358,0.3824228028503563,0.3301662707838479,0.4613839285714286,0.4234641770943509,0.4993036800485063,1.0208333333333333,0.9375,0.9236111111111112,0.5633333333333332,0.4758457056758108,0.6508209609908557,0.4761904761904761,0.5761904761904761,0.5619047619047619,0.4207407407407407,0.3860031645689215,0.4554783169125599,0.6548223350253807,0.6446700507614214,0.6598984771573604
6,6,6,6,6,6,6,6,6,6,6,6,6,SUPREMExtractor,0.645021645021645,0.6190486808571002,0.6709946091861899,1.6248153618906942,2.2673559822747413,2.416543574593796,0.54421914563424,0.5271162865102295,0.5613220047582506,0.5606166150670795,0.5274921284167198,0.5937411017174392,1.171021377672209,1.508313539192399,1.3634204275534445,0.5560267857142858,0.5003977245329512,0.6116558468956204,1.7916666666666667,2.493055555555556,2.2152777777777777,0.7186111111111111,0.6725201738314882,0.764702048390734,2.095238095238096,2.6476190476190475,2.771428571428572,0.4820370370370371,0.3892354049870479,0.5748386690870264,2.1116751269035534,3.3756345177664975,3.568527918781726
7,7,7,7,7,7,7,7,7,7,7,7,7,MerlinExtractor,0.6376430976430976,0.62534535058461,0.6499408447015851,0.9158050221565732,1.1137370753323486,1.0915805022156573,0.561696479621008,0.5414942531961784,0.5818987060458376,0.5698787409700723,0.5343422745645349,0.6054152073756097,1.1425178147268409,1.2802850356294535,1.0308788598574825,0.6129464285714284,0.5785473776417718,0.6473454795010851,1.8611111111111112,2.0069444444444446,1.9444444444444444,0.6425,0.5877295623829543,0.6972704376170457,1.723809523809524,1.876190476190476,1.7857142857142858,0.4312962962962963,0.3707312493311938,0.4918613432613989,1.4213197969543148,1.7918781725888324,1.7969543147208122
8,8,8,8,8,8,8,8,8,8,8,8,8,MedImageInsightExtractor,0.6757190957190957,0.6624475290664839,0.6889906623717076,1.276218611521418,1.6129985228951256,1.4047267355982276,0.5848280650167442,0.5604482823443308,0.6092078476891577,0.5647961816305469,0.5161890853184229,0.6134032779426709,2.1235154394299287,2.315914489311164,1.7173396674584325,0.5606026785714285,0.4951707461368897,0.6260346110059674,2.513888888888889,2.9791666666666665,2.486111111111111,0.5619444444444445,0.533468039512289,0.5904208493765999,1.8142857142857145,1.838095238095238,1.4857142857142858,0.4953703703703704,0.4297770946212319,0.5609636461195089,2.1421319796954315,2.182741116751269,1.7055837563451777
9,9,9,9,9,9,9,9,9,9,9,9,9,ModelsGenExtractor,0.806060606060606,0.795694502799469,0.8164267093217431,2.707533234859675,4.197932053175776,,0.6453197745650576,0.62444825454842,0.6661912945816952,0.5773606811145511,0.5399351172418023,0.6147862449872998,2.2850356294536818,2.705463182897862,,0.6095982142857143,0.568962232863936,0.6502341957074925,3.423611111111111,4.520833333333333,,0.733611111111111,0.6708833293150559,0.7963388929071661,2.461904761904762,3.776190476190476,,0.5301851851851851,0.4589974435097188,0.6013729268606514,2.4923857868020303,4.147208121827411,
